source_center,destination_center,n_legs,median_ratio,median_actual_min,median_osrm_min,median_osrm_km,major_route_type,shrunk_ratio
IND302014AAA,IND303702AAB,6,2.1842105263157894,83.5,38.0,51.9977,FTL,2.057100532788926
IND302014AAA,IND305001AAC,11,2.5233644859813085,275.0,108.0,145.4529,FTL,2.3139383871392214
IND302014AAA,IND306401AAB,2,2.2460691500308707,495.0,220.5,302.1241,FTL,2.0090101919542644
IND302014AAA,IND313001AAB,8,1.9655532860747327,567.0,287.5,405.52225000000004,FTL,1.9503121088693025
IND302014AAB,IND302004AAA,20,2.2481617647058822,37.0,16.5,19.3843,Carting,2.224941584452192
IND302014AAB,IND302006AAA,12,1.9393382352941178,31.0,16.0,16.542949999999998,Carting,2.0087391513982644
IND302014AAB,IND302006AAC,15,2.6875,45.0,20.0,20.3918,Carting,2.533225995316159
IND302014AAB,IND302020AAA,13,2.0833333333333335,24.0,12.0,13.878,Carting,2.103609433419615
IND302014AAB,IND302023AAA,12,2.694508009153318,60.0,23.0,25.622549999999997,Carting,2.512185667304398
IND302014AAB,IND302026AAA,13,3.8333333333333335,69.0,18.0,19.3133,Carting,3.3009778544722463
IND302014AAB,IND303008AAB,5,1.8727272727272728,103.0,55.0,73.9501,Carting,2.02262566047961
IND302014AAB,IND303301AAB,8,1.3125,42.0,32.0,41.220349999999996,Carting,1.670374707259953
IND302014AAB,IND303303AAA,1,1.25,70.0,56.0,73.3713,Carting,2.019320843091335
IND302014AAB,IND303603AAB,1,1.6944444444444444,122.0,72.0,87.6403,Carting,2.0828129065833982
IND302014AAB,IND303901AAA,6,3.119047619047619,63.5,20.0,25.29275,Carting,2.6332943013270884
IND302020AAA,IND302014AAB,13,2.888888888888889,26.0,11.0,12.5845,Carting,2.6547790240628895
IND302022AAD,IND000000ACB,7,1.9090909090909092,314.0,165.0,222.3819,Carting,2.019144789636593
IND302026AAA,IND302014AAB,2,14.972222222222221,258.0,17.0,22.155250000000002,Carting,5.353711293260473
IND303002AAA,IND302014AAA,7,1.7142857142857142,61.0,35.0,48.2061,FTL,1.813841787351721
IND303008AAB,IND303338AAB,5,1.5333333333333334,44.0,30.0,32.7092,Carting,1.8683556880278192
IND303106AAA,IND302014AAA,1,2.0833333333333335,125.0,60.0,79.6318,FTL,1.9518966527008155
IND303106AAA,IND303002AAA,6,1.5108695652173914,30.0,20.0,27.092100000000002,FTL,1.720430052239727
IND303108AAB,IND303106AAA,6,1.5408602150537636,47.5,31.0,44.07705,FTL,1.7354253771579131
IND303301AAB,IND303303AAA,10,1.4654761904761906,30.5,22.5,30.632199999999997,Carting,1.721250487900078
IND303303AAA,IND322230AAA,13,1.3506493506493507,104.0,77.0,97.0507,Carting,1.602299340004258
IND303338AAB,IND303603AAB,5,0.9473684210526315,54.0,57.0,61.6722,Carting,1.6020080006275002
IND303503AAA,IND302014AAB,8,1.7257053291536049,97.5,57.5,79.6807,Carting,1.9064920382048702
IND303603AAB,IND302014AAB,5,2.472972972972973,183.0,74.0,87.753,Carting,2.295464615136746
IND303603AAB,IND303338AAB,1,0.8771929824561403,50.0,57.0,61.3575,Carting,1.9660626977279263
IND303702AAB,IND332001AAB,3,1.6774193548387097,104.0,62.0,84.5306,FTL,1.8458001444542782
IND303702AAB,IND332404AAA,5,1.5416666666666667,37.0,25.0,33.752199999999995,FTL,1.7534796880823371
IND303901AAA,IND304001AAA,2,1.9285714285714284,81.0,42.0,57.36215,Carting,2.092798594847775
IND305001AAC,IND305802AAA,6,2.197037037037037,57.0,26.0,29.92875,FTL,2.0635137881495496
IND305001AAC,IND305901AAA,12,2.1136363636363633,93.0,44.0,56.0382,FTL,2.0524210888449295
IND305001AAC,IND306401AAB,12,2.004032258064516,245.5,123.0,166.5906,FTL,1.9793516851303647
IND305001AAC,IND342602AAC,1,2.0416666666666665,196.0,96.0,130.313,FTL,1.9459442717484343
IND305404AAA,IND305601AAC,9,1.4545454545454546,80.0,55.0,59.1595,FTL,1.6447234884320978
IND305601AAC,IND305001AAC,13,1.9705882352941178,68.0,34.0,38.9285,FTL,1.9577679102313632
IND305624AAA,IND305404AAA,4,1.804054054054054,133.5,74.0,88.99775,FTL,1.879615945178859
IND305802AAA,IND341512AAA,4,2.090017825311943,70.0,35.0,38.345150000000004,FTL,1.9940014536820143
IND305901AAA,IND342602AAC,4,1.8686502177068216,98.0,54.0,75.72975,FTL,1.905454410639966
